262,"e-tv","Metz","NULL",2929,"http://img.zap.co.il/pics/8/3/5/9/14069538b.gif"
36973,"e-tv","Loewe","MODUS","L42","http://img.zap.co.il/pics/0/1/3/1/11361310b.gif"
137631,"e-tv","Dantax","NULL","P42HQ","http://img.zap.co.il/pics/7/5/6/1/11991657b.gif"
304214,"e-tv","Philips","NULL","42PF5320","http://img.zap.co.il/pics/5/6/4/9/13869465b.gif"
372020,"e-tv","Philips","NULL","BDS4624R","http://img.zap.co.il/pics/9/0/6/6/12936609b.gif"
375879,"e-tv","Panasonic","NULL","TH42PWD8","http://img.zap.co.il/pics/4/6/4/9/13869464b.gif"
412429,"e-tv","Samsung","NULL","LA40R71B","http://img.zap.co.il/pics/0/9/3/6/14076390b.gif"
413348,"e-tv","Metz","NULL","LT2012A","http://img.zap.co.il/pics/0/0/0/9/14219000b.gif"
415439,"e-tv","Konka","NULL","KLCTM2018S","http://img.zap.co.il/pics/3/7/0/6/13976073b.gif"
418949,"e-tv","Metz","NULL","M4211","http://img.zap.co.il/pics/3/0/0/9/14219003b.gif"
455277,"e-tv","Normande","NULL","LCD26701","http://img.zap.co.il/pics/0/5/7/1/14231750b.gif"
455279,"e-tv","Normande","NULL","LCD37701","http://img.zap.co.il/pics/9/9/8/1/14231899b.gif"
470106,"e-tv","Sharp","NULL","LC46XD1E","http://img.zap.co.il/pics/9/1/4/3/15683419b.gif"
470107,"e-tv","Sharp","NULL","LC42XD1E","http://img.zap.co.il/pics/9/0/9/4/15694909b.gif"
471981,"e-tv","LG","NULL","42PC1RR","http://img.zap.co.il/pics/7/2/9/7/15617927b.gif"
473522,"e-tv","Sansui","NULL","SV42PDP","http://img.zap.co.il/pics/0/0/3/6/23836300b.gif"
473721,"e-tv","Metz","NULL","M3711","http://img.zap.co.il/pics/2/2/4/1/16441422b.gif"
479010,"e-tv","Thomson","NULL","20LW052B5","http://img.zap.co.il/pics/9/6/5/8/14348569b.gif"
480322,"e-tv","Sansui","NULL","LCT37SD","http://img.zap.co.il/pics/9/6/9/3/17023969b.gif"
490577,"e-tv","LG","NULL","37LC2RR","http://img.zap.co.il/pics/2/3/8/4/24434832b.gif"
490705,"e-tv","Nec","NULL","NLT46HDB2","http://img.zap.co.il/pics/4/4/0/6/17626044b.gif"
501379,"e-tv","MAG","NULL","JL408","http://img.zap.co.il/pics/0/2/7/9/19099720b.gif"
502018,"e-tv","Graetz","NULL","GRLCD42751","http://img.zap.co.il/pics/4/4/6/9/19389644b.gif"
502268,"e-tv","Hitachi","NULL","42PD9500TA","http://img.zap.co.il/pics/6/0/0/9/19439006b.gif"
502890,"e-tv","Sansui","NULL",3706,"http://img.zap.co.il/pics/9/7/1/5/19105179b.gif"
505128,"e-tv","Panasonic","NULL","TH37PG9","http://img.zap.co.il/pics/4/0/5/2/19782504b.gif"
519225,"e-tv","Panasonic","NULL","TH37PG9W","http://img.zap.co.il/pics/0/0/4/7/19987400b.gif"
519954,"e-tv","Sansui","NULL","SN1907","http://img.zap.co.il/pics/6/2/5/1/20021526b.gif"
520824,"e-tv","Hitachi","NULL","32LD9000","http://img.zap.co.il/pics/2/4/0/6/20026042b.gif"
520825,"e-tv","Hitachi","NULL","37LD9000","http://img.zap.co.il/pics/3/4/0/6/20026043b.gif"
521052,"e-tv","Proview","NULL","JK371XC","http://img.zap.co.il/pics/5/6/1/1/20111165b.gif"
521053,"e-tv","Proview","NULL","EF371XC","http://img.zap.co.il/pics/6/6/1/1/20111166b.gif"
521343,"e-tv","Haier","NULL","L32A8A1","http://img.zap.co.il/pics/3/6/5/5/20045563b.gif"
521344,"e-tv","Haier","NULL","L37A8A1","http://img.zap.co.il/pics/2/6/5/5/20045562b.gif"
521458,"e-tv","Sharp","NULL","LC37XD1E","http://img.zap.co.il/pics/5/4/8/8/20068845b.gif"
573717,"e-tv","Panasonic","NULL","TH42PS9","http://img.zap.co.il/pics/5/9/3/7/20187395b.gif"
573722,"e-tv","Konka","NULL","KLC2021QS","http://img.zap.co.il/pics/2/0/2/1/20181202b.gif"
573723,"e-tv","Konka","NULL","KL3221QS","http://img.zap.co.il/pics/3/0/2/1/20181203b.gif"
573725,"e-tv","Dantax","NULL","SD4202","http://img.zap.co.il/pics/1/3/4/2/20062431b.gif"
574133,"e-tv","Uniden","NULL",42750,"http://img.zap.co.il/pics/5/3/9/9/20209935b.gif"
574142,"e-tv","Uniden","NULL",37750,"http://img.zap.co.il/pics/4/3/9/9/20209934b.gif"
574145,"e-tv","Haier","NULL","L40A9AA1","http://img.zap.co.il/pics/2/8/7/4/20194782b.gif"
576884,"e-tv","Samsung","NULL","PS50Q91H","http://img.zap.co.il/pics/2/3/7/0/20300732b.gif"
576886,"e-tv","Samsung","NULL","LA40R81B","http://img.zap.co.il/pics/8/4/1/6/20286148b.gif"
576887,"e-tv","Samsung","NULL","LA40S81B","http://img.zap.co.il/pics/1/5/1/6/20286151b.gif"
576888,"e-tv","Samsung","NULL","LA32S81B","http://img.zap.co.il/pics/9/4/1/6/20286149b.gif"
576944,"e-tv","Konka","NULL","KLC37BS21Q","http://img.zap.co.il/pics/1/9/7/3/20263791b.gif"
576946,"e-tv","Konka","NULL","KLC40BS21Q","http://img.zap.co.il/pics/7/1/0/3/20263017b.gif"
577014,"e-tv","Metz","NULL","L32A2","http://img.zap.co.il/pics/8/7/9/9/20219978b.gif"
577180,"e-tv","Haier","NULL","L26A9AA1","http://img.zap.co.il/pics/5/3/0/9/20329035b.gif"
577182,"e-tv","Haier","NULL","L37A9AA1","http://img.zap.co.il/pics/7/3/0/9/20329037b.gif"
577194,"e-tv","Toshiba","NULL","15VL63","http://img.zap.co.il/pics/9/9/7/8/20468799b.gif"
578107,"e-tv","Samsung","NULL","LA37R81B","http://img.zap.co.il/pics/2/8/9/1/21661982b.gif"
578425,"e-tv","Pixxel","Superior","XT","http://img.zap.co.il/pics/6/6/0/4/20384066b.gif"
579935,"e-tv","Panasonic","NULL","TH37PV45E","http://img.zap.co.il/pics/3/8/4/0/20420483b.gif"
580574,"e-tv","Hitachi","NULL","50PD9800TA","http://img.zap.co.il/pics/1/1/0/1/20471011b.gif"
582128,"e-tv","Toshiba","NULL","37C3000","http://img.zap.co.il/pics/1/9/0/3/20503091b.gif"
585634,"e-tv","Panasonic","NULL","TH42PHD9","http://img.zap.co.il/pics/9/4/5/1/20631549b.gif"
586421,"e-tv","Samsung","NULL","LA46S81B","http://img.zap.co.il/pics/0/2/2/1/20681220b.gif"
588135,"e-tv","Philips","NULL","42PFL5322","http://img.zap.co.il/pics/6/3/9/2/24192936b.gif"
588136,"e-tv","Philips","NULL","47PFL7642","http://img.zap.co.il/pics/7/0/9/9/20859907b.gif"
588849,"e-tv","BenQ","NULL","VB3732","http://img.zap.co.il/pics/0/9/0/5/20505090b.gif"
588924,"e-tv","Proview","NULL","EF4210XC","http://img.zap.co.il/pics/5/5/7/6/21106755b.gif"
589077,"e-tv","BenQ","NULL","VL4232","http://img.zap.co.il/pics/0/6/1/1/21081160b.gif"
589098,"e-tv","BenQ","NULL","VB3232","http://img.zap.co.il/pics/0/0/0/2/20502000b.gif"
589140,"e-tv","Uniden","NULL","FH42750FHD","http://img.zap.co.il/pics/7/1/3/9/20929317b.gif"
590546,"e-tv","Samsung","NULL","PS42C91H","http://img.zap.co.il/pics/1/8/4/5/21155481b.gif"
591050,"e-tv","LG","NULL","42PC7RV","http://img.zap.co.il/pics/7/2/6/7/21137627b.gif"
